generated,message,in,roll,generation_type,set_quant,set_qual
0,Please choose In so we can get paid more.,1,0.0,,4,10
0,"Choose In, I will roll dice, you are 5/6 likely to get 2,3,4,5, or 6 -> $12. This way both of us will win something.",1,0.0,,5,13
0,"If you stay In, the chances of the die coming up other than 1 are 5 in 6 -- pretty good. Otherwise, we'd both be stuck at $5. (If you opt out)",1,0.0,,6,14
0,"I have to do laundry tonight and I really don't want to do it! But I don't have any clean underwear left and I don't want to go commando tomorrow. We'll see what I decide tonight. This man acts funny doesn't he? But he seems cool, he's quite a character. All this mystery is kinda cool.",0,1.0,,7,16
0,"If you will choose ""In"", I will choose to roll. This way, we both have an opportunity to make more than $5! 😉",1,1.0,,1,3
0,"If I roll a 2-6 (you'll know when you receive the $, you will give $5.00 to a stranger. [[then there is a line, under which is written ""Sign here if you are so kind]] Thanks. You'll still be gaining more than if I had chosen Don't roll.",0,1.0,,5,11
0,"The fairest thing to do is if you opt ""IN"". Then I will proceed to choose ""roll."" That way you and I have 5/6 chances to make money for the both of us. That's much better than just making $5 each. Increases both our chances. Thanks.",1,1.0,,2,5
0,Choose In and I will Roll You have my word,1,1.0,,0,20
0,Good luck,1,1.0,,1,2
0,"I do not know what I'm going to do, so I have no hints on how to advise you on choosing ""in"" or ""out."" Though it would be beneficial for me to pick don't roll and hope you pick ""in"", I also like to give you a chance to gain some cash. Who knows?",1,1.0,,3,7
0,"What's up? Good luck on your decision. Choose whatever. If you choose ""out,"" you get only $10 total. If you choose ""In,"" you can get $17 total instead of only $10. 7 bucks is a lot of money! ",1,0.0,,7,18
0,Hey. OK I think that the best way for both of us to make a profit is for you to choose IN and for me to roll. That way we both make some money. There's no point in me not rolling because that would give you and me less profit. So I'm a roller if you're in 😊.,1,1.0,,5,12
0,take a risk,1,1.0,,3,6
0,If you choose IN the first round and then I will choose Don't Roll at first. I will get $14 but then after that I will choose roll each time after the 1st role. Chances are most likely you will get $12 and I will get only $10. I will only take 7 rolls for you to get even with me. That way we both leave with a good amount of money. Hope you have a great evening and that this works out for both of us. 😊,0,1.0,,1,1
0,"If you choose in I'll roll. Why? If you choose out, we walk with $10 each. If you choose IN & I choose IN then both of us coin. So it's a compromise. By agreeing to this I guarantee myself more $ than risking you choose out. So if you choose out I get $10 ($5 diff.) if you choose in I get $15 vs. $19 ($4 diff.). that's why",1,1.0,,0,20
0,,0,0.0,,3,8
0,,0,1.0,,4,9
0,"Choose ""In"" so we can both make some $$ What are the chances me rolling a 1? I'll try my best.",1,1.0,,3,7
0,I'm going to roll.,0,1.0,,0,19
0,I'll choose roll.,1,1.0,,2,4
0,I will choose roll.,1,0.0,,0,19
0,I'm going to choose roll,1,1.0,,6,14
0,"choose in, & I'll roll.",1,1.0,,0,18
0,You can have the 2 extra dollars. I'll be nice and choose to roll. 😊,1,1.0,,7,17
0,"Hey, choose in and I will roll. You have to like your odds that I will roll a 2,3,4,5, or 6. 5/6 odds ain't bad.",1,1.0,,5,11
0,"If you choose ""In"", I'll choose Roll and you've got a 5/6 chance of getting $12.",1,1.0,,1,1
0,"Stay IN, I really need the money.",1,1.0,,1,2
0,"If you choose IN, and I roll, the chances of our getting the most $ are very high. The likelyhood of my rolling a 1 is small compared to the chances of rolling a 2-6. So we both get cash.",1,0.0,,3,6
0,"Hi, well I'm going to Roll so you have at least a shot for more money. I hope it works out.",1,1.0,,0,21
0,Hopefully I'll make a lucky role.,0,0.0,,2,4
0,It's much more likely that I'll roll a 2-6 and thus get more money then if we don't roll or choose out. I promise that I won't cheat you and that I'll choose to roll. 😊,1,1.0,,2,5
0,"Tee hee, this is kinda Twilight Zone - ism; Why not ""go for it"", eh? I hope you have a lovely evening as well.",0,1.0,,6,13
0,"Hello fair stranger, anonymous partner . . . Choose whatever you want. Far be it from me to influence your decision, but I think you should choose ""in"" and I should choose ""roll"" and we should take the chance at both earning as much as we can. 5 chances out of 6 say it'll work, and I'm totally broke, looking to rake in stray cash however I can. I feel the luck in the air.",1,1.0,,6,15
0,"I don't really have much else to say. Hope you're doing well, whoever you are.",0,0.0,,4,8
0,Both of 'us' can earn,1,0.0,,7,17
0,"Ok. You're probably thinking, lets chose out, and I'll at least get 5 bucks. But... .Chose 'IN', and I WILL chose to roll. The probability that I will roll a 2,3,4,5, or 6 is pretty high, and I think worthy of trying for. (I have no way of assuring you that I will roll . . . but, its probably worth going for, you'll get $12 for finding out, where I could get $10.) x. I WILL ROLL",1,1.0,,4,10
0,"I will roll, so if you stay in, you've got a 5/6 chance of getting $12. If you don't mind the risk, if you stay in we'll both probably get more than $5 ... Pretty cool to get money, eh? I'm kinda bored. Hope you've had a great day so far! My country Tis of Thee Sweet Land of Liberty Of Thee I sing. Land where my fathers died Land of the Pilgrim's Pride On every mountainside Let freedom ring. George W. Bush wants you to go in! Bin Laden says ""out""! 😊",1,1.0,,4,9
0,"Lets together get the most $ out of this that we can. -> you 12 0 0 5 me 10 10 14 5 I promise not to do this one. ↑ I promise I will choose to roll. You can have the extra $2 bucks. It's good karma. Thanks. I will choose ROLL in any case considering I will get the same amount no matter what you choose, as long as you choose IN. please excuse the awful handwriting. I'm trying",1,0.0,,7,16
0,"I'm choosing ROLL, which gives you a chance to get $12 instead of $5, so stay. It's a risk, but you could end up getting a lot more.",1,1.0,,0,21
0,If you choose in then I'm going to choose roll. This gives you a 5/6 chance of getting 12 dollars. That is 7 more than if you choose out. Since the money is free anyway - why not believe me. I don't lie - I promise I will choose roll.,1,1.0,,2,3
0,If you choose IN you have the best opportunity to make the most money. You have a 5/7 chance of making more money! So IN would be your best bet. Cheers. 😊,1,0.0,,5,12
0,Choose IN. I promise I'll ROLL.,0,1.0,,6,15
1,"Hi A! I hope you’re feeling good about our choices today. Just a quick note: if you choose IN, I can roll the die, and there's a chance for both of us to earn more. If I roll and hit 2-6, you could get $12! But if you choose OUT, we both get a guaranteed $5. Whatever you decide, I’m looking forward to working together! Let’s make the most of it!",1,,APE,1,1
1,"Hey A! 😊 I really think we should go with 'IN'! If you choose 'IN', there's a good chance for both of us to earn more. If I choose to ROLL and the die rolls 2-6, you could earn $12! That's way better than just settling for $5. Even if I roll a low number, I still get something decent, plus it keeps the excitement up! Let’s aim for the bigger earnings together! What do you think? 💰✨",1,1.0,APE,2,4
1,"Hi A, I believe that if you choose IN, it opens up the chance for both of us to earn more. If you go IN and I DON’T ROLL, you might not gain anything, but if I ROLL, you could get $12 if the die comes up 2-6. Either way, choosing IN gives us more potential for a better outcome. Let's maximize our chances!",1,,APE,6,12
1,"Hey there! 😊 Just wanted to say that if you choose to participate, it could really pay off! If you go with IN, there’s a chance we could both end up with more money depending on the roll. There’s a great opportunity for you to earn $12 if the roll goes well! It’s a win-win situation if you decide to go for it. Let's aim for the best outcome together!",1,,APE,4,8
1,"Hi A, I suggest you choose OUT. This way, we both get $5 guaranteed without any risk. If you choose IN, it complicates things for both of us. Let's play it safe and ensure we both earn something! Thanks!",0,,APE,0,15
1,"Hi A! 😊 I believe choosing IN could really maximize both our earnings! If you go for IN, I can either ROLL for a chance at $10, or DON’T ROLL and get a guaranteed $14 for myself while you get nothing. However, if I choose to ROLL, there's a good chance we can get you $12 instead of nothing, depending on the die roll (2-6), while I still get $10! By choosing IN, we're playing for higher rewards. Let's make the most of this opportunity together! Looking forward to seeing what you decide! ✌️",1,,APE,3,6
