generated,message,in,roll
0,"If you choose IN, I will ROLL the die to give you a 5/6 chance of earning $12. Let's both aim for higher payoffs!",N/A,N/A
0,"Hi A, I’ll choose ROLL if you choose IN. This gives you a 5/6 chance to earn $12, which is much better than the $5 from OUT. Let’s maximize our earnings together!",N/A,N/A
0,"Hi A, if you choose IN, I’ll choose ROLL. This gives you an 83% chance (5/6) to earn $12 instead of the guaranteed $5 if you pick OUT. I’d rather take a fair chance together than leave you with nothing. Let’s both aim higher!",N/A,N/A
0,"If you choose IN, I will ROLL the die. This gives you an 83% chance (5/6) to earn $12, while I receive $10. This way, we both have the opportunity to earn more than the $5 baseline. Let’s aim for the higher outcome together!",N/A,N/A
0,"I plan to choose ROLL if you choose IN. This gives you a 5/6 chance to earn $12, which is better for both of us compared to OUT. I’ll take the smaller guaranteed amount ($10) to give you a fair shot at the higher payoff.",N/A,N/A
0,"I will choose ROLL if you choose IN. This gives you a 5/6 chance to earn $12 instead of the guaranteed $5 from OUT. While I earn slightly less ($10 vs. $14), this feels fair and gives us both a better shot at higher payoffs overall. Let’s take the chance!",N/A,N/A
0,"Hi A, I plan to choose ROLL because it gives you a 5/6 chance to earn $12 instead of $0. This way, we both walk away with more than the base amount. Let’s aim for the best outcome together!",N/A,N/A
0,"Hi A, I understand that choosing IN might feel risky, but I want to assure you that if you choose IN, I will choose ROLL. This gives you a strong chance (5/6) to earn $12, while I still get a fair $10. It’s better for both of us than settling for $5 each. Let’s aim higher together!",N/A,N/A
0,"Hi! If you choose IN, I'll choose ROLL. This gives you an 83% chance (5/6) to earn $12, while I get $10. Together, we both end up better off compared to the $5 each if you choose OUT. Let’s aim for the higher reward—I’ll keep my word!",N/A,N/A
0,"Hi A, if you choose IN, I will choose ROLL. This gives you an 83% chance to earn $12 instead of just $5. Let’s maximize our payouts together!",N/A,N/A
0,"Hi A, I plan to choose ROLL if you go IN. This gives you an 83% chance to earn $12, while I get $10. Together, we can both earn more than the $5 from OUT. Let's maximize our payoffs!",N/A,N/A
1,"Please choose In so we can get paid more.",0,0
1,"Choose In, I will roll dice, you are 5/6 likely to get 2,3,4,5, or 6 -> $12. This way both of us will win something.",1,0
1,"If you stay in, the chances of the die coming up other than 1 are 5 in 6 - pretty good. Otherwise, we'd both be stuck at $5. (If you opt out)",1,0
1,"I have to do laundry tonight and I really don't want to do it! But I don't have any clean underwear left and I don't want to go commando tommorrow. We'll see what I decide tonight. This man acts funny doesn't he? But he seems cool, he's quite a char-acter. All this mystery is kinda cool.",0,1
1,"If you choose ""IN"", I will choose to roll. This way, we both have an opportunity to make more than $5! 😊",1,1
1,"",0,1
1,"If I roll a 2-6 (you'll know when you receive the $, you will give $5.00 to a stranger.",1,1
1,"[[[then there is a line, under which is written ""Sign here if you are so kind]]] Thanks. You'll still be gaining more than if I had chosen Don't roll. The fairest thing to do is if you opt ""IN"". Then I will proceed to choose ""roll."" That way you and I have 5/6 chances to make money for the both of us. That's much better than just making $5 each. Increases both our chances. Thanks.",1,1
1,"Choose In and I will Roll You have my word",1,0
1,"Good luck",1,1
1,"I do not know what I'm going to do, so I have no hints on how to advise you on choosing ""in"" or ""out."" Though it would be beneficial for me to pick don't roll and hope you pick ""in"", I also like to give you a chance to gain some cash. Who knows? What's up? Good luck on your decision. Choose whatever. If you choose ""out,"" you get only $10 total. If you choose ""In,"" you can get $17 total instead of only $10. 7 bucks is a lot of money! Hey. OK I think that the best way for both of us to make a profit is for you to choose IN and for me to roll. That way we both make some money. There's no point in me not rolling because that would give you and me less profit. So I'm a roller if you're in 😊.",1,0
1,"Hey. OK I think that the best way for both of us to make a profit is for you to choose IN and for me to roll. That way we both make some money. There's no point in me not rolling because that would give you and me less profit. So I'm a roller if you're in 😊.",1,0
1,"take a risk",0,0
1,"If you choose IN the first round and then I will choose Don't Roll at first. I will get $14 but then after that I will choose roll each time after the 1st role. Chances are most likely you will get $12 and I will get only $10. I will the only take 7 rolls for you to get even with me. That way we both leave with a good amount of money. Hope you have a great evening and that this works out for both of us. 😊",0,1
1,"If you choose In I'll roll. Why? If you choose out, we walk out with $10 each. If you choose IN & I choose IN then both of us coin. So it's a compro-mise. By agreeing to this I guarantee myself more $ than risking you choose out. So if you choose out I get $10 ($5 diff.) if you choose in I get $15 vs. $19 ($4 diff.) that's why",1,1
1,"",0,0
1,"",1,1
1,"Choose ""In"" so we can both make some $$ What are the chances me rolling a 1? I'll try my best.",1,1
1,"I'm going to roll.",0,1
1,"I'll choose roll.",1,1
1,"I will choose roll.",1,0
1,"I'm going to choose roll",1,1
1,"choose in, & I'll roll.",1,1
1,"You can have the 2 extra dollars. I'll be nice and choose to roll. 😊",1,1
1,"Hey, choose in and I will roll. You have to like your odds that I will roll a 2,3,4,5, or 6. 5/6 odds ain't bad.",1,0
1,"If you choose ""In"", I'll choose Roll and you've got a 5/6 chance of getting $12.",1,1
1,"Stay IN, I really need the money.",1,1
1,"If you choose IN, and I roll, the chances of our getting the most $ are very high. The likelihood of my rolling a 1 is small compared to the chances of rolling a 2-6. So we both get cash.",0,0
1,"Hi, well I'm going to Roll so you have at least a shot for more money. I hope it works out.",1,1
1,"Hopefully I'll make a lucky role.",0,0
